"filename", "language", "Gradle", "HTML", "Java Properties", "Java", "comment", "blank", "total"
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/application/services/CreateAdminUserUseCase.java", "Java", 0, 0, 0, -4, 0, -2, -6
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/application/services/CreateApiKeyUseCase.java", "Java", 0, 0, 0, -5, 0, -3, -8
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/application/services/DeleteApiKeyUseCase.java", "Java", 0, 0, 0, -5, 0, -3, -8
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/application/services/EvaluateTransactionForFraudUseCase.java", "Java", 0, 0, 0, -6, 0, -4, -10
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/application/services/FraudDecisionService.java", "Java", 0, 0, 0, 8, 0, 3, 11
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/application/services/FraudIncidentService.java", "Java", 0, 0, 0, 12, 0, 4, 16
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/application/services/GetDashBoardDataUseCase.java", "Java", 0, 0, 0, -5, 0, -3, -8
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/application/services/GetDecisionDetailByDecisionIdUseCase.java", "Java", 0, 0, 0, -9, 0, -4, -13
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/application/services/GetDecisionsByClientAccountIdUseCase.java", "Java", 0, 0, 0, -7, 0, -4, -11
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/application/services/GetFraudIncidentByIdUseCase.java", "Java", 0, 0, 0, -3, 0, -2, -5
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/application/services/GetIncidentDetailsByIncidentIdUseCase.java", "Java", 0, 0, 0, -6, 0, -3, -9
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/application/services/GetRiskProfileByAccountIdUseCase.java", "Java", 0, 0, 0, -5, 0, -3, -8
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/application/services/GetUserInfoForSideBarUseCase.java", "Java", 0, 0, 0, -5, 0, -3, -8
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/application/services/ListAllFraudIncidentsByTenantUseCase.java", "Java", 0, 0, 0, -6, 0, -4, -10
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/application/services/ListApiKeyByUserIdUseCase.java", "Java", 0, 0, 0, -7, 0, -4, -11
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/application/services/ListFraudIncidentsByAccountUseCase.java", "Java", 0, 0, 0, -7, 0, -4, -11
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/application/services/ListFraudIncidentsByIncidentIdUseCase.java", "Java", 0, 0, 0, -3, 0, -2, -5
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/application/services/LoadClienAccountIdDataUseCase.java", "Java", 0, 0, 0, -6, 0, -3, -9
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/application/services/OpenFraudIncidentUseCase.java", "Java", 0, 0, 0, -7, 0, -3, -10
